상표,주유소명,주소,시군구,유종별 가격,부가정보
SK에너지,화곡현대주유소,서울 강서구 강서로 151 (화곡동),강서구,"{'고급휘발유': '1,926원', '보통휘발유': '1,723원', '경유': '1,586원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
SK에너지,우장산주유소,서울 강서구 강서로 292,강서구,"{'고급휘발유': '1,946원', '보통휘발유': '1,718원', '경유': '1,568원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,HD현대오일뱅크㈜직영 가양주유소,서울 강서구 양천로 391 (가양동),강서구,"{'고급휘발유': '1,955원', '보통휘발유': '1,759원', '경유': '1,619원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
GS칼텍스,박물관주유소,서울 강서구 양천로53길 97 (가양동),강서구,"{'고급휘발유': '1,998원', '보통휘발유': '1,798원', '경유': '1,658원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'Y', '24시 영업 여부': 'N'}"
HD현대오일뱅크,이케이에너지(주) 강서주유소,서울 강서구 화곡로 273 (화곡동),강서구,"{'보통휘발유': '1,638원', '경유': '1,513원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
알뜰주유소,화곡역주유소,서울 강서구 강서로 154 (화곡동),강서구,"{'보통휘발유': '1,638원', '경유': '1,513원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
SK에너지,강서오곡셀프주유소,서울 강서구 벌말로 254 (오곡동),강서구,"{'보통휘발유': '1,655원', '경유': '1,525원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
알뜰주유소,유턴주유소,서울 강서구 남부순환로 57,강서구,"{'보통휘발유': '1,659원', '경유': '1,535원', '실내등유': '1,400원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,㈜오일마스터강서지점 등촌주유소,서울 강서구 등촌로 189,강서구,"{'보통휘발유': '1,659원', '경유': '1,534원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
알뜰주유소,목화주유소,서울 강서구 국회대로 251 (화곡동),강서구,"{'보통휘발유': '1,662원', '경유': '1,537원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
알뜰주유소,뉴신정주유소,서울 강서구 곰달래로 207,강서구,"{'보통휘발유': '1,662원', '경유': '1,537원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'Y', '24시 영업 여부': 'N'}"
SK에너지,㈜한경에너지 신화곡주유소,서울 강서구 국회대로 71,강서구,"{'보통휘발유': '1,662원', '경유': '1,537원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'Y', '24시 영업 여부': 'Y'}"
SK에너지,(주)타이거오일 방화주유소,서울 강서구 방화동로 58-2,강서구,"{'보통휘발유': '1,664원', '경유': '1,533원', '실내등유': '1,600원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
S-OIL,씨앤에스유통(주) 마곡드림주유소,서울 강서구 방화대로 254(마곡동),강서구,"{'보통휘발유': '1,665원', '경유': '1,535원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
GS칼텍스,강서열린주유소,서울 강서구 등촌로 213 (등촌동),강서구,"{'보통휘발유': '1,698원', '경유': '1,578원', '실내등유': '1,600원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
SK에너지,개화주유소,서울 강서구 양천로 57,강서구,"{'보통휘발유': '1,717원', '경유': '1,577원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
SK에너지,세원제1주유소,서울 강서구 양천로 311 (가양동),강서구,"{'보통휘발유': '1,738원', '경유': '1,588원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
S-OIL,(주)한진 김포공항제2주유소,서울 강서구 하늘길 112,강서구,"{'보통휘발유': '1,774원', '경유': '1,650원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
SK에너지,코리나(주)청룡주유소,서울 강서구 양천로 576,강서구,"{'보통휘발유': '1,828원', '경유': '1,698원', '실내등유': '1,600원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
S-OIL,참솔에너지,서울 강서구 벌말로 281 (오곡동),강서구,"{'보통휘발유': '1,897원', '경유': '1,795원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
SK에너지,염창동주유소,서울 강서구 양천로 720,강서구,"{'보통휘발유': '2,030원', '경유': '1,858원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,㈜CW창원,서울 관악구 과천대로 921 (남현동),관악구,"{'고급휘발유': '1,885원', '보통휘발유': '1,638원', '경유': '1,513원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
GS칼텍스,서일석유(주)락성주유소,서울 관악구 남부순환로 1920 (봉천동),관악구,"{'고급휘발유': '1,895원', '보통휘발유': '1,695원', '경유': '1,595원', '실내등유': '1,380원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
SK에너지,SK에너지(주)직영 신봉천주유소,서울 관악구 남부순환로 1880 (봉천동),관악구,"{'고급휘발유': '1,905원', '보통휘발유': '1,745원', '경유': '1,625원', '실내등유': '1,380원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'Y', '24시 영업 여부': 'N'}"
SK에너지,(주)한유에너지 행운주유소,서울 관악구 남부순환로 1883 (봉천동),관악구,"{'고급휘발유': '1,994원', '보통휘발유': '1,694원', '경유': '1,594원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,HD현대오일뱅크㈜직영 관악셀프주유소,서울 관악구 남부순환로 1520 (신림동),관악구,"{'고급휘발유': '2,029원', '보통휘발유': '1,769원', '경유': '1,628원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
GS칼텍스,CJ대한통운㈜ 신림주유소,서울 관악구 남부순환로 1515 (신림동),관악구,"{'고급휘발유': '2,099원', '보통휘발유': '1,948원', '경유': '1,778원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,HD현대오일뱅크㈜직영 문성골주유소,서울 관악구 문성로 97,관악구,"{'보통휘발유': '1,659원', '경유': '1,544원', '실내등유': '1,399원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,진우7주유소 ㈜준우에너지,서울 관악구 보라매로 41,관악구,"{'보통휘발유': '1,684원', '경유': '1,564원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
알뜰주유소,(주)연우에너지 신관주유소,서울 관악구 신림로 290 (신림동),관악구,"{'보통휘발유': '1,684원', '경유': '1,564원', '실내등유': '1,400원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
SK에너지,대양석유(주)직영 보라매주유소,서울 관악구 보라매로 26 (봉천동),관악구,"{'보통휘발유': '1,724원', '경유': '1,594원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
S-OIL,유림주유소,서울 관악구 신림로 176 (신림동),관악구,"{'보통휘발유': '1,768원', '경유': '1,648원', '실내등유': '1,498원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
HD현대오일뱅크,현대주유소,서울 관악구 난곡로 108 (신림동),관악구,"{'보통휘발유': '1,769원', '경유': '1,646원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
S-OIL,관악시몬주유소,서울특별시 관악구 남부순환로 1753 (봉천동),관악구,"{'보통휘발유': '1,855원', '경유': '1,695원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
GS칼텍스,지에스칼텍스㈜ 난곡주유소,서울 관악구 난곡로 206,관악구,"{'보통휘발유': '1,989원', '경유': '1,799원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
SK에너지,서울중앙고속주유소,서울 광진구 동일로 345 (중곡동),광진구,"{'고급휘발유': '1,799원', '보통휘발유': '1,675원', '경유': '1,545원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
S-OIL,정해네트웍스(주)일진주유소,서울 광진구 동일로 413 (중곡동),광진구,"{'고급휘발유': '1,824원', '보통휘발유': '1,675원', '경유': '1,545원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
GS칼텍스,㈜동화오일 대원주유소,서울 광진구 용마산로 122 (중곡동),광진구,"{'고급휘발유': '1,825원', '보통휘발유': '1,645원', '경유': '1,515원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,HD현대오일뱅크㈜직영 능동주유소,서울 광진구 천호대로 584 (능동),광진구,"{'고급휘발유': '1,844원', '보통휘발유': '1,655원', '경유': '1,527원', '실내등유': '1,490원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
S-OIL,삼호주유소,서울 광진구 천호대로 809 (광장동),광진구,"{'고급휘발유': '1,844원', '보통휘발유': '1,655원', '경유': '1,527원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
HD현대오일뱅크,HD현대오일뱅크㈜직영 중곡현대주유소,서울 광진구 동일로 435 (중곡동),광진구,"{'고급휘발유': '1,867원', '보통휘발유': '1,675원', '경유': '1,547원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
SK에너지,유니스에너지 자양주유소,서울 광진구 아차산로 298 (자양동),광진구,"{'고급휘발유': '2,038원', '보통휘발유': '1,768원', '경유': '1,648원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
SK에너지,강평주유소,서울 광진구 아차산로 616,광진구,"{'고급휘발유': '2,127원', '보통휘발유': '1,938원', '경유': '1,798원', '실내등유': '1,558원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,(주)창원CW,서울 광진구 광나루로 460 (화양동),광진구,"{'보통휘발유': '1,645원', '경유': '1,517원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,(주)자연에너지 중원주유소,서울 광진구 동일로 398 (중곡동),광진구,"{'보통휘발유': '1,645원', '경유': '1,517원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,HD현대오일뱅크㈜직영 장호셀프주유소,서울 광진구 자양로 37,광진구,"{'보통휘발유': '1,665원', '경유': '1,539원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
GS칼텍스,용마주유소,서울 광진구 용마산로 68 (중곡동),광진구,"{'보통휘발유': '1,670원', '경유': '1,537원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
SK에너지,(주)장수주유소,서울 광진구 동일로 266 (군자동),광진구,"{'보통휘발유': '1,675원', '경유': '1,565원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
SK에너지,서서울고속주유소,서울 구로구 경인로 150 (오류동),구로구,"{'고급휘발유': '1,849원', '보통휘발유': '1,695원', '경유': '1,555원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
GS칼텍스,지에스칼텍스㈜ 개봉동주유소,서울 구로구 경인로 290,구로구,"{'고급휘발유': '1,857원', '보통휘발유': '1,647원', '경유': '1,520원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
HD현대오일뱅크,㈜자연에너지 고척주유소,서울 구로구 고척로 199 (고척동),구로구,"{'고급휘발유': '1,859원', '보통휘발유': '1,627원', '경유': '1,510원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,(주)서울에너지 궁동주유소,서울 구로구 오리로 1299 (궁동),구로구,"{'고급휘발유': '1,859원', '보통휘발유': '1,627원', '경유': '1,510원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,영진주유소,서울 구로구 구로동로 20 (가리봉동),구로구,"{'고급휘발유': '1,859원', '보통휘발유': '1,627원', '경유': '1,510원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
GS칼텍스,대성산업(주)디큐브주유소,서울 구로구 경인로 650,구로구,"{'고급휘발유': '1,895원', '보통휘발유': '1,685원', '경유': '1,515원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
SK에너지,SK구로주유소,서울 구로구 구일로 94 (구로동),구로구,"{'고급휘발유': '1,899원', '보통휘발유': '1,697원', '경유': '1,567원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,HD현대오일뱅크㈜직영 구로셀프주유소,서울 구로구 시흥대로 531,구로구,"{'고급휘발유': '1,908원', '보통휘발유': '1,729원', '경유': '1,607원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
HD현대오일뱅크,대원셀프주유소,서울 구로구 개봉로 7,구로구,"{'고급휘발유': '1,968원', '보통휘발유': '1,768원', '경유': '1,598원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,(주)제이제이네트웍스 신구로주유소,서울 구로구 가마산로 293 (구로동),구로구,"{'고급휘발유': '2,158원', '보통휘발유': '1,948원', '경유': '1,748원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,개봉주유소,서울 구로구 고척로 115 (개봉동),구로구,"{'보통휘발유': '1,627원', '경유': '1,549원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
S-OIL,씨앤에스유통(주) 구로드림주유소,서울 구로구 경인로 41 (온수동),구로구,"{'보통휘발유': '1,665원', '경유': '1,535원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
알뜰주유소,신성주유소,서울 구로구 구로동로 187 (구로제2동),구로구,"{'보통휘발유': '1,666원', '경유': '1,536원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
GS칼텍스,(주)한미석유구로그린주유소,서울 구로구 구로중앙로 76 (구로동),구로구,"{'보통휘발유': '1,668원', '경유': '1,538원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
S-OIL,극동유화(주) 항동주유소,서울 구로구 서해안로 2154 (항동),구로구,"{'보통휘발유': '1,675원', '경유': '1,515원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
SK에너지,구인주유소,서울 구로구 경인로 558 (구로동),구로구,"{'보통휘발유': '1,697원', '경유': '1,567원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'Y', '24시 영업 여부': 'N'}"
S-OIL,동아주유소,서울 구로구 도림로 91 (구로동),구로구,"{'보통휘발유': '1,998원', '경유': '1,798원', '실내등유': '1,698원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'Y', '24시 영업 여부': 'N'}"
GS칼텍스,구로주유소,서울 구로구 구로동로 137 (구로동),구로구,"{'보통휘발유': '2,290원', '경유': '2,140원', '실내등유': '1,790원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
GS칼텍스,대득에너지(금천셀프주유소),서울 금천구 시흥대로 81 (시흥동),금천구,"{'고급휘발유': '1,885원', '보통휘발유': '1,695원', '경유': '1,555원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'Y', '24시 영업 여부': 'Y'}"
SK에너지,SK에너지(주) 박미주유소,서울 금천구 시흥대로 39-7 (시흥동),금천구,"{'고급휘발유': '1,885원', '보통휘발유': '1,760원', '경유': '1,625원', '실내등유': '1,380원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
SK에너지,SK에너지(주) 이가주유소,서울 금천구 시흥대로 441,금천구,"{'고급휘발유': '1,889원', '보통휘발유': '1,739원', '경유': '1,609원', '실내등유': '1,380원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,현대오일뱅크㈜직영 금천제일주유소,서울 금천구 남부순환로 1410 (독산동),금천구,"{'고급휘발유': '1,889원', '보통휘발유': '1,789원', '경유': '1,649원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
GS칼텍스,지에스칼텍스(주)일신주유소,서울 금천구 시흥대로 118,금천구,"{'고급휘발유': '1,925원', '보통휘발유': '1,725원', '경유': '1,595원', '실내등유': '1,650원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,HD현대오일뱅크㈜직영 금천현대셀프주유소,서울 금천구 독산로 147 (시흥동),금천구,"{'고급휘발유': '1,989원', '보통휘발유': '1,696원', '경유': '1,584원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
SK에너지,(주)화동유업 화동주유소,서울 금천구 시흥대로 484,금천구,"{'보통휘발유': '1,656원', '경유': '1,533원', '실내등유': '1,450원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
알뜰주유소,(주)백운주유소,서울 금천구 시흥대로 282,금천구,"{'보통휘발유': '1,663원', '경유': '1,534원', '실내등유': '1,400원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
S-OIL,구광주유소,서울 금천구 서부샛길 674 (가산동),금천구,"{'보통휘발유': '1,675원', '경유': '1,545원', '실내등유': '1,350원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
S-OIL,백산주유소,서울특별시 금천구 시흥대로 174 (시흥동),금천구,"{'보통휘발유': '1,725원', '경유': '1,595원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,HD현대오일뱅크㈜직영 남서울셀프주유소,서울 금천구 독산로 257 (독산동),금천구,"{'보통휘발유': '1,738원', '경유': '1,615원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,(주)정건에너지직영,서울 노원구 노원로17길 29 (하계동),노원구,"{'고급휘발유': '1,944원', '보통휘발유': '1,675원', '경유': '1,575원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
S-OIL,태릉솔밭주유소,서울 노원구 노원로 49 (공릉동),노원구,"{'고급휘발유': '1,957원', '보통휘발유': '1,695원', '경유': '1,575원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
SK에너지,한신주유소,서울 노원구 동일로 1089 (공릉동),노원구,"{'고급휘발유': '1,980원', '보통휘발유': '1,730원', '경유': '1,620원', '실내등유': '1,700원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
GS칼텍스,월계주유소,서울 노원구 월계로 252,노원구,"{'고급휘발유': '1,994원', '보통휘발유': '1,819원', '경유': '1,679원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
GS칼텍스,이엠석유(주)배꽃나라주유소,서울 노원구 화랑로 466 (공릉1동),노원구,"{'고급휘발유': '1,995원', '보통휘발유': '1,675원', '경유': '1,545원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
GS칼텍스,성북역주유소,서울특별시 노원구 광운로 95 (월계1동),노원구,"{'고급휘발유': '2,058원', '보통휘발유': '1,828원', '경유': '1,698원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,화랑대주유소,서울 노원구 화랑로 483,노원구,"{'고급휘발유': '2,070원', '보통휘발유': '1,675원', '경유': '1,545원', '실내등유': '1,600원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
SK에너지,삼육주유소,서울 노원구 화랑로 822 (공릉동),노원구,"{'보통휘발유': '1,725원', '경유': '1,595원', '실내등유': '1,400원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
S-OIL,구도일주유소 불암,서울 노원구 한글비석로 268 (중계동),노원구,"{'보통휘발유': '1,729원', '경유': '1,609원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
SK에너지,SK에너지㈜직영 상계주유소,서울 노원구 노해로 527 (상계동),노원구,"{'보통휘발유': '1,749원', '경유': '1,619원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,상계동주유소,서울 노원구 노원로26길 191 (상계동),노원구,"{'보통휘발유': '1,795원', '경유': '1,670원', '실내등유': '1,570원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
GS칼텍스,(주)소모 수락산셀프주유소,서울 노원구 동일로 1772,노원구,"{'보통휘발유': '1,798원', '경유': '1,688원', '실내등유': '1,600원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
S-OIL,신성주유소,서울 노원구 월계로 328 (월계동),노원구,"{'보통휘발유': '1,818원', '경유': '1,698원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
GS칼텍스,하계삼호주유소,서울 노원구 공릉로 294 (하계동),노원구,"{'보통휘발유': '1,875원', '경유': '1,745원'}","{'세차장 여부': 'N', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
S-OIL,한이에너지(주) 쌍문주유소,서울 도봉구 도봉로 547 (쌍문동),도봉구,"{'고급휘발유': '1,905원', '보통휘발유': '1,649원', '경유': '1,509원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'Y', '편의점 여부': 'N', '24시 영업 여부': 'Y'}"
GS칼텍스,지에스칼텍스㈜ 방학동주유소,서울 도봉구 방학로 186,도봉구,"{'고급휘발유': '1,905원', '보통휘발유': '1,651원', '경유': '1,515원', '실내등유': '1,450원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
HD현대오일뱅크,(주)자연에너지 햇살주유소,서울 도봉구 방학로 142 (방학동),도봉구,"{'고급휘발유': '1,905원', '보통휘발유': '1,649원', '경유': '1,509원'}","{'세차장 여부': 'Y', '충전소 여부': 'N', '경정비 여부': 'N', '편의점 여부': 'N', '24시 영업 여부': 'N'}"
