구별,총계,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV비율,오차
종로구,2031,40.30544488711819,150453,139417,11036,28764,7.335181086452247,19.118262846204463,1.3499232318398435,-679.8908987718996
용산구,3258,59.11602209944752,227106,213151,13955,39747,6.144707757610983,17.50151911442234,1.4345724023143378,134.5285256383154
성동구,4409,28.879892037786774,284766,277361,7405,49462,2.6003806634218973,17.369348868895866,1.548288770429054,975.1767326425161
광진구,3828,42.08398133748056,351180,335554,15626,56819,4.449570021071815,16.179452132809384,1.0900392960874765,36.70701394631442
동대문구,3268,47.675401521555365,359873,341149,18724,67030,5.202946595048809,18.626015288726858,0.908098134619713,-570.0825825939646
중랑구,4512,40.43088975937325,387470,382155,5315,78955,1.371719100833613,20.377061449918703,1.1644772498516014,525.3780758988369
성북구,4578,31.404523934771174,438168,425602,12566,80414,2.867849774515711,18.352321483997006,1.044804732431396,318.49886671914555
강북구,3331,43.7797147385103,292977,288113,4864,68617,1.6601985821412601,23.420609808961114,1.136949316840571,-147.01852528825884
도봉구,2378,152.58620689655174,309494,306948,2546,70436,0.822633072046631,22.758437966487232,0.7683509211810245,-1188.9203734483635
노원구,3006,45.78804347826087,502925,498213,4712,96422,0.936919023711289,19.17224238206492,0.597703434905801,-1602.0521402012319
은평구,5027,33.37340706900697,470869,466770,4099,93817,0.8705181271224056,19.9242252091346,1.0676005428261364,591.4875246664988
서대문구,3793,26.077652094160808,320629,306231,14398,58113,4.490548266064517,18.12468616375936,1.1829871908030778,166.1460987159062
마포구,3155,38.372093023255815,375162,363697,11465,57895,3.056013135658729,15.43200004264824,0.8409700342785251,-765.3747879896073
양천구,4447,57.12881022615536,439252,436028,3224,76317,0.7339750302787466,17.374309052662255,1.0124029031171173,181.66429607038663
강서구,3546,53.52329611089719,568826,563058,5768,102096,1.0140183465594048,17.948546655743584,0.6233892262308685,-1416.760664485245
구로구,5003,35.881509794553274,415651,392405,23246,79984,5.592672698971011,19.243066899875135,1.2036540270563525,864.6953863668459
금천구,3169,65.16634050880626,241105,227481,13624,45342,5.6506501316853655,18.805914435619336,1.3143651106364447,-29.82032538749445
영등포구,4566,19.995050730017322,397800,374794,23006,67509,5.783308195072901,16.97058823529412,1.147812971342383,523.7774164876923
동작구,3024,35.94654788418708,389714,378769,10945,70474,2.808469800930939,18.08351765653787,0.7759536480598593,-974.7001312375237
관악구,5772,26.218051118210862,497883,481956,15927,85418,3.198944330294467,17.15623951811972,1.1593085122408278,1191.0861487388447
서초구,5395,46.79802955665024,412078,407664,4414,65661,1.071156431549367,15.934119268682142,1.3092181577274205,1275.9268632377098
강남구,7721,23.014804845222073,550282,544873,5409,86606,0.982950559894745,15.738475908715897,1.4030987748100066,2858.0514001924194
송파구,4031,53.58060962174073,660025,654166,5859,108894,0.8876936479678801,16.49846596719821,0.6107344418772016,-1422.6342886514585
강동구,3549,35.67105731577074,463318,459167,4151,82984,0.8959289300221446,17.91080855913217,0.765996572548444,-845.8696312663624
